feature,feature_display,neutral,general,popular,engaging,informative,controversial,average
polarization_score,Content: Polarization Score,0.09374558998043364,0.019690163158738935,0.013551813529505179,0.06077343484189082,0.05510168197990492,0.11846761990793138,0.060221717233067476
primary_topic,Content: Primary Topic,0.029928117907391152,0.013822153297286225,0.011333815558039485,0.019743148744636656,0.027218985214461304,0.03837788322217666,0.02340401732399858
toxicity,Toxicity: Toxicity,0.01186513240626317,0.005989327854996899,0.009815275278247498,0.04692747666032806,0.0215454041489989,0.0116500540316331,0.017965445063411273
author_political_leaning,Author: Political Leaning,0.01881619659660229,0.006538459011647609,0.001607453050980372,0.009527121539295039,0.01603050764930333,0.02754551391813004,0.01334420862765978
sentiment_polarity,Sentiment: Polarity,0.012742258004736473,0.002314674086754222,0.005715230207748935,0.02002112479918764,0.0013416134900862621,0.01739316242260018,0.009921343835185618
avg_word_length,Text: Avg Word Length,0.006298364839010796,0.0035752945173767006,0.001113999957936883,0.0017215542998585685,0.02544749325023253,0.008978414365459632,0.007855853538312517
sentiment_subjectivity,Sentiment: Subjectivity,0.0034293664876124566,0.002752915113637379,0.005791616494917193,0.005729350076748472,0.011541247303070873,0.0029884898339651803,0.005372164218325259
has_url,Style: Has URL,0.0004942326544591422,0.0032179562010577257,0.0006414158090223245,0.00039951951139555224,0.0128023297116677,0.00043190695062266616,0.0029978934730375186
has_emoji,Style: Has Emoji,0.0014170467388304481,0.0007368284379640894,0.001730519258966671,0.001070808544807676,0.002307248671898631,0.0018659187213192169,0.0015213950622977887
author_is_minority,Author: Is Minority,0.0015561448701723764,0.0002259416673106113,0.0004748657825226581,0.0013929563098047015,0.0030338204269065206,0.001971026494752443,0.0014424592585782186
author_gender,Author: Gender,0.00021446608891702052,0.0014534467938740279,0.000884954795793965,0.0004903579057173618,0.002239891169933501,0.0027986914558286113,0.0013469680350107478
has_hashtag,Style: Has Hashtag,0.0006998876713668456,0.0004943256428913252,0.0004528891880027071,0.0010318677111692178,0.0006046670654299605,0.00059406869423313,0.0006462843288488644
has_mention,Style: Has Mention,0.00014626956741848335,0.00011195543517127366,0.00017196704904298067,2.6365214249652764e-05,0.00010468246540154452,0.0002268382794987181,0.00013134633513044218
Mean Across Features,Mean Across Features,0.01395023644717033,0.004686418555285155,0.004098908920055912,0.01298885278146842,0.013793813272868926,0.01794535294601161,0.011243930487143393
