author_id,dataset,has_bio,llama_gender,mistral_gender,agreed_gender,llama_political,mistral_political,agreed_political,llama_minority,mistral_minority,agreed_minority,n_messages,n_rounds,agreement_rate
1sounddept,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,15,1,1.0
313Smark,twitter,True,male,male,male,unknown,unknown,unknown,no,no,no,45,3,1.0
360bratboy,twitter,False,female,female,female,unknown,unknown,unknown,yes,yes,yes,15,1,1.0
6OnTheWay,twitter,True,unknown,female,unknown,right,unknown,unknown,no,no,no,45,3,0.3333333333333333
AbeWilfred1973,twitter,True,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
AmandaFGodsey,twitter,True,female,female,female,center-left,unknown,unknown,no,no,no,45,3,0.6666666666666666
Antagonist_1a,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
AshleyDC512,twitter,False,female,female,female,left,left,left,no,unknown,unknown,45,3,0.6666666666666666
Ben_Jones88,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
BetsyCombier,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
BeyondItHoney,twitter,True,female,female,female,left,left,left,yes,yes,yes,45,3,1.0
BigA_501,twitter,True,male,male,male,right,unknown,unknown,yes,yes,yes,45,3,0.6666666666666666
BobbyWalker2002,twitter,True,male,male,male,right,right,right,unknown,unknown,unknown,30,2,1.0
BooMan23,twitter,True,male,male,male,left,left,left,no,unknown,unknown,45,3,0.6666666666666666
BrownsvilleMars,twitter,True,female,female,female,right,right,right,no,no,no,30,2,1.0
ChaplainVingo,twitter,True,male,female,unknown,left,left,left,unknown,unknown,unknown,45,3,0.6666666666666666
ChefLawdiscreet,twitter,True,male,male,male,right,center-left,unknown,no,unknown,unknown,45,3,0.3333333333333333
CooperMcCoyRE,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
Cyncity3561,twitter,False,female,female,female,right,right,right,unknown,unknown,unknown,45,3,1.0
DARonin4,twitter,False,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
DE_Heighton,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
DJLBroker,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
DOREENH191924,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
DSolo987,twitter,True,male,male,male,right,center-right,unknown,no,no,no,45,3,0.6666666666666666
DameHowell,twitter,True,male,male,male,left,center-left,unknown,yes,yes,yes,45,3,0.6666666666666666
DarthDividend23,twitter,True,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Debtee56,twitter,True,female,female,female,left,left,left,yes,yes,yes,30,2,1.0
